player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
1849791,LAR,PHI,RB,Xavier Jones,0,,,,0,100
328578,NYJ,SFO,QB,Mike White,0,,,,0,100
982789,ARI,WAS,WR,Andy Isabella,4.36,0.1,8.68,0.39,0,100
37028,HOU,BAL,TE,Pharaoh Brown,0,,,,0,100
36967,NYG,CHI,RB,Wayne Gallman Jr.,0.53,0.1,1.06,0.01,0,100
328304,MIN,IND,TE,Tyler Conklin,0.55,,1.13,0.04,0,100
328097,BAL,HOU,QB,Lamar Jackson,26.16,9,35.84,13.86,0,100
1844741,CAR,TBB,WR,Omar Bayless,0,,,,0,100
35558,PHI,LAR,QB,Carson Wentz,19,2.2,27.93,11.21,0,100
35634,LAC,KCC,TE,Hunter Henry,11.16,2.2,18.64,1.45,0,100
11547,TBB,CAR,K,Ryan Succop,8.29,,11.85,3.9,0,100
35603,WAS,ARI,RB,Peyton Barber,7.97,0.8,15.94,0.16,0,100
328242,ATL,DAL,WR,Brandon Powell,0,,,,0,100
37044,KCC,LAC,TE,Ricky Seals-Jones,0,,,,0,100
1844272,GBP,DET,RB,Patrick Taylor,0,,,,0,100
328096,BAL,HOU,TE,Mark Andrews,16.09,10.9,25.58,2.41,0,100
16563,ARI,WAS,WR,DeAndre Hopkins,18.85,13.5,35.25,8.86,0,100
973101,LVR,NOS,T2,Josh Jacobs,17.4,,25.75,6.26,0,100
11669,DET,GBP,RB,Adrian Peterson,8.93,0.8,17.59,2.68,0,100
18124,KCC,LAC,WR,Sammy Watkins,10.42,2.9,20.01,0.52,0,100
1001210,BAL,HOU,WR,Antoine Wesley,0,,,,0,100
1844398,NEP,SEA,RB,J.J. Taylor,1.91,,1.24,0.86,0,100
35673,LAR,PHI,QB,Jared Goff,18.61,2.3,26.8,9.12,0,100
328523,GBP,DET,WR,Allen Lazard,11.52,1.3,19.58,2.07,0,100
982262,DEN,PIT,TE,Andrew Beck,0,,,,0,100
328522,JAC,TEN,WR,DJ Chark Jr.,12.97,1.6,22.05,1.56,0,100
35425,CIN,CLE,WR,Alex Erickson,0.04,,0.08,0,0,100
328794,TBB,CAR,RB,Ronald Jones II,14.3,8.9,21.88,7.72,0,100
18534,JAC,TEN,RB,Bruce Miller,0,,,,0,100
981965,BAL,HOU,RB,Justice Hill,0,,,,0,100
13641,IND,MIN,WR,T.Y. Hilton,14.95,9.2,24.37,0.45,0,100
865932,CIN,CLE,K,Austin Seibert,0,,,,0,100
13560,SEA,NEP,T1,Russell Wilson,19.93,,30.29,9.77,0,100
18136,SFO,NYJ,QB,Jimmy Garoppolo,15.89,1,23.52,8.42,0,100
963120,NEP,SEA,RB,Jakob Johnson,0,,,,0,100
328583,DAL,ATL,TE,Dalton Schultz,6.56,1.5,13.45,0.46,0,100
36959,DAL,ATL,TE,Blake Jarwin,0,,,,0,100
35608,TEN,JAC,WR,Kalif Raymond,6.12,0.1,12.55,0.43,0,100
328579,DET,GBP,RB,Bo Scarbrough,0,,,,0,100
1844099,BAL,HOU,WR,Devin Duvernay,2.72,0.1,5.44,0.05,0,100
472108,ATL,DAL,TE,Jaeden Graham,0.04,,0.08,0,0,100
1255828,LVR,NOS,WR,Rico Gafford,0,,,,0,100
982758,LAC,KCC,QB,Easton Stick,0,,,,0,100
36900,MIA,BUF,WR,Isaiah Ford,4.76,0.1,9.52,0.1,0,100
35508,HOU,BAL,WR,Will Fuller V,14.55,6.3,23.57,1.75,0,100
35421,NYG,CHI,WR,Cody Core,0,,,,0,100
35506,HOU,BAL,K,Ka'imi Fairbairn,7.5,,10.5,3.6,0,100
982176,MIN,IND,TE,Irv Smith Jr.,5.32,0.7,10.11,0.59,0,100
328853,KCC,LAC,WR,Byron Pringle,0.28,0.1,0.56,0.01,0,100
36872,GBP,DET,RB,Jamaal Williams,5.22,0.1,10.28,1.83,0,100
37067,SFO,NYJ,QB,Nick Mullens,0,,,,0,100
36934,CLE,CIN,WR,JoJo Natson,0.27,,0.53,0,0,100
35636,NYG,CHI,RB,Elijhaa Penny,0,,,,0,100
21627,TEN,JAC,TE,MyCole Pruitt,1.65,,3.38,0.12,0,100
16538,NYJ,SFO,RB,Le'Veon Bell,0,,,,0,100
1569828,CHI,NYG,TE,Darion Clark,0,,,,0,100
329008,SFO,NYJ,TE,Ross Dwelley,4.54,0.1,9.08,0.09,0,100
1844304,MIN,IND,WR,K.J. Osborn,0,,,,0,100
35596,NOS,LVR,WR,Michael Thomas,0,,,,0,100
12326,NOS,LVR,T2,Emmanuel Sanders,15.02,,26.29,2.55,0,100
37050,LAR,PHI,WR,Cooper Kupp,15.26,2.4,26.71,3.2,0,100
328948,ARI,WAS,RB,Chase Edmonds,8.16,0.8,15.67,1.47,0,100
1001683,LAC,KCC,WR,Jalen Guyton,4.26,0.1,6.6,0.72,0,100
36871,GBP,DET,RB,Aaron Jones,17.89,3.3,30.59,8.05,0,100
16557,SEA,NEP,QB,Geno Smith,0,,,,0,100
36977,CIN,CLE,RB,Samaje Perine,0.47,,0.94,0.01,0,100
982345,SEA,NEP,WR,Penny Hart,0,,,,0,100
982234,MIA,BUF,RB,Chandler Cox,0,,,,0,100
982316,HOU,BAL,TE,Kahale Warring,0,,,,0,100
328392,NYJ,SFO,WR,Braxton Berrios,5.21,1.5,10.42,0.1,0,100
1844649,IND,MIN,TE,Noah Togiai,3.66,0.1,6.22,0.26,0,100
21581,HOU,BAL,RB,Duke Johnson,0,,,,0,100
328152,CLE,CIN,RB,Nick Chubb,14.07,,23.64,6.19,0,100
328118,TEN,JAC,QB,Logan Woodside,0,,,,0,100
328333,PIT,DEN,WR,Ray-Ray McCloud III,0.58,0.1,0.38,0.26,0,100
1844186,PIT,DEN,RB,Anthony McFarland Jr.,0,,,,0,100
16564,CHI,NYG,WR,Cordarrelle Patterson,5,0.1,9.35,0.6,0,100
21785,ATL,DAL,RB,Todd Gurley II,14.46,4.7,26.75,6.22,0,100
1849700,LVR,NOS,T6,Bryan Edwards,6.8,,10.95,1.16,0,100
329037,SEA,NEP,T6,Will Dissly,5.5,,10.56,0.28,0,100
982845,SFO,NYJ,WR,Deebo Samuel,0,,,,0,100
21708,LVR,NOS,T5,Nelson Agholor,3.94,,7.84,0.35,0,100
982082,CHI,NYG,RB,David Montgomery,12.32,2.9,22.92,5.42,0,100
35610,CLE,CIN,RB,Andy Janovich,0,,,,0,100
35491,ARI,WAS,RB,D.J. Foster,0,,,,0,100
16577,HOU,BAL,WR,Kenny Stills,4.65,0.1,9.77,0.56,0,100
21675,BUF,MIA,RB,T.J. Yeldon,0,,,,0,100
982431,DAL,ATL,RB,Tony Pollard,6.7,0.1,14.47,1.47,0,100
328607,NYG,CHI,RB,Saquon Barkley,19.82,7.8,34.09,7.53,0,100
982657,DEN,PIT,QB,Drew Lock,14.57,0.7,19.38,7.29,0,100
18380,LVR,NOS,TE,Derek Carrier,0.25,,0.5,0.01,0,100
11787,LVR,NOS,T6,Jason Witten,2.33,,4.85,0.23,0,100
328952,ARI,WAS,WR,Christian Kirk,11.74,8.9,21.72,1.29,0,100
328913,LAC,KCC,RB,Justin Jackson,0,,,,0,100
1844098,BAL,HOU,WR,James Proche,0.94,0.1,1.88,0.02,0,100
328271,GBP,DET,QB,Tim Boyle,0,,,,0,100
2184924,JAC,TEN,RB,Nathan Cottrell,0,,,,0,100
1849699,MIA,BUF,WR,Lynn Bowden Jr.,0.12,,0.08,0.05,0,100
982257,NEP,SEA,QB,Jarrett Stidham,0,,,,0,100
1844675,WAS,ARI,TE,Thaddeus Moss,0,,,,0,100
13556,BAL,HOU,QB,Robert Griffin III,0,,,,0,100
36928,IND,MIN,TE,Mo Alie-Cox,8.02,3.7,16.12,0.16,0,100
1844832,DEN,PIT,WR,KJ Hamler,0.26,0.1,0.53,0.02,0,100
982405,TEN,JAC,WR,A.J. Brown,0,,,,0,100
972605,DET,GBP,TE,T.J. Hockenson,9.62,3.6,17.03,0.96,0,100
981990,CIN,CLE,RB,Trayveon Williams,0,,,,0,100
328643,PHI,LAR,TE,Dallas Goedert,9.17,3.2,17.42,1.1,0,100
1001990,LVR,NOS,RB,Alec Ingold,0.33,,0.66,0.01,0,100
12732,NEP,SEA,T3,Julian Edelman,13.55,,22.76,3.79,0,100
981991,CIN,CLE,QB,Ryan Finley,0,,,,0,100
16558,JAC,TEN,QB,Mike Glennon,0,,,,0,100
11706,BAL,HOU,RB,Mark Ingram II,10.74,1.5,19.76,4.3,0,100
21794,CAR,TBB,RB,Mike Davis,0.33,0.1,0.74,0.07,0,100
982024,CLE,CIN,TE,Stephen Carlson,1.12,,2.74,-0.13,0,100
328269,GBP,DET,WR,Equanimeous St. Brown,0,,,,0,100
328494,IND,MIN,RB,Nyheim Hines,13.53,6.7,21.51,2.84,0,100
11613,DET,GBP,QB,Matthew Stafford,17.72,2.2,27.82,7.44,0,100
2184716,MIN,IND,WR,Dan Chisena,0,,,,0,100
11619,KCC,LAC,QB,Chad Henne,0,,,,0,100
888716,IND,MIN,RB,Bruce Anderson III,0,,,,0,100
18106,GBP,DET,WR,Davante Adams,22.45,19.6,36.82,4.49,0,100
13563,MIN,IND,QB,Kirk Cousins,17.15,0.8,26.41,8.75,0,100
1849843,SEA,NEP,RB,DeeJay Dallas,0,,,,0,100
18139,NEP,SEA,WR,Matthew Slater,0,,,,0,100
11656,LAC,KCC,QB,Tyrod Taylor,17.75,1.1,25.21,8.88,0,100
982482,PHI,LAR,WR,JJ Arcega-Whiteside,0.6,0.1,1.15,0.03,0,100
35482,ARI,WAS,RB,Kenyan Drake,16.12,20.7,26.76,7.42,0,100
12896,ATL,DAL,WR,Julio Jones,20.16,13.6,32.26,4.84,0,100
18233,IND,MIN,TE,Trey Burton,0,,,,0,100
18332,NOS,LVR,T5,Latavius Murray,7.13,,12.91,2.78,0,100
328423,NYJ,SFO,QB,Sam Darnold,14.64,0.7,22.84,6.44,0,100
2216284,DET,GBP,WR,Jamal Agnew,0,,,,0,100
328160,NYG,CHI,WR,Damion Ratley,1.21,0.1,2.24,0.08,0,100
16562,SFO,NYJ,WR,Tavon Austin,0,,,,0,100
21584,DET,GBP,TE,Jesse James,2.43,0.1,4.98,0.17,0,100
216309,CIN,CLE,TE,Clark Harris,0,,,,0,100
1849756,ARI,WAS,RB,Eno Benjamin,0,,,,0,100
982107,LAC,KCC,TE,Donald Parham Jr.,0,,,,0,100
13592,DET,GBP,WR,Marvin Jones Jr.,14.94,7,25.1,1.49,0,100
36835,CIN,CLE,WR,John Ross III,8.18,,16.2,0.25,0,100
37061,SFO,NYJ,QB,C.J. Beathard,0,,,,0,100
18357,BUF,MIA,WR,John Brown,11.16,0.9,20.76,1.23,0,100
982843,SFO,NYJ,WR,Jalen Hurd,0,,,,0,100
18287,TBB,CAR,WR,Mike Evans,17.26,11.1,29.69,3.11,0,100
18365,HOU,BAL,TE,Darren Fells,3.83,0.1,7.66,0.08,0,100
35431,CHI,NYG,TE,J.P. Holtz,0,,,,0,100
36893,LVR,NOS,QB,Nathan Peterman,0,,,,0,100
1844488,IND,MIN,WR,Dezmon Patmon,0,,,,0,100
12959,BUF,MIA,RB,Taiwan Jones,0,,,,0,100
463435,TEN,JAC,TE,Beau Brinkley,0,,,,0,100
35547,NYG,CHI,WR,Sterling Shepard,10.66,1.2,17.7,2.77,0,100
982543,ATL,DAL,WR,Olamide Zaccheaus,0.73,0.1,1.42,0.06,0,100
